m1_source,m2_source,dL,likelihood,prior,posterior
1.665350850153337836e+00,1.288076277467825381e+00,8.490000000000000000e+02,2.178754730770271930e+00,1.000000000000000000e+00,2.178754730770271930e+00
1.694025784806809209e+00,1.266970682863233666e+00,8.490000000000000000e+02,2.254839642199069072e+00,1.000000000000000000e+00,2.254839642199069072e+00
1.474103775347606504e+00,1.450599526371569858e+00,8.490000000000000000e+02,1.706974864664528191e+00,1.000000000000000000e+00,1.706974864664528191e+00
1.742045566076642071e+00,1.234257622581219183e+00,8.490000000000000000e+02,2.384378833190946789e+00,1.000000000000000000e+00,2.384378833190946789e+00
1.469543032763797941e+00,1.454845968277385104e+00,8.490000000000000000e+02,1.696571045147964529e+00,1.000000000000000000e+00,1.696571045147964529e+00
1.512778825883317468e+00,1.413547473310885705e+00,8.490000000000000000e+02,1.797893336798523700e+00,1.000000000000000000e+00,1.797893336798523700e+00
1.707510734438778988e+00,1.257950374771366731e+00,8.490000000000000000e+02,2.290494012783924838e+00,1.000000000000000000e+00,2.290494012783924838e+00
1.555453055993121447e+00,1.375158226860232702e+00,8.490000000000000000e+02,1.900989475974654175e+00,1.000000000000000000e+00,1.900989475974654175e+00
1.666521111471610084e+00,1.287715154907828286e+00,8.490000000000000000e+02,2.181384929822129060e+00,1.000000000000000000e+00,2.181384929822129060e+00
1.782902468810266594e+00,1.207680506025434086e+00,8.490000000000000000e+02,2.497805160534124713e+00,1.000000000000000000e+00,2.497805160534124713e+00
1.812003403652557632e+00,1.190237956637071548e+00,8.490000000000000000e+02,2.579475789605534697e+00,1.000000000000000000e+00,2.579475789605534697e+00
1.464760647071187805e+00,1.459638831688634397e+00,8.490000000000000000e+02,1.685518110466937447e+00,1.000000000000000000e+00,1.685518110466937447e+00
1.598051378078279017e+00,1.339892400093118274e+00,8.490000000000000000e+02,2.006290307293654429e+00,1.000000000000000000e+00,2.006290307293654429e+00
1.648293166170694990e+00,1.301163420819912764e+00,8.490000000000000000e+02,2.134015333052445840e+00,1.000000000000000000e+00,2.134015333052445840e+00
1.513954207709233390e+00,1.413100956028847222e+00,8.490000000000000000e+02,1.800280189171713952e+00,1.000000000000000000e+00,1.800280189171713952e+00
1.622946499019706890e+00,1.319722038848917478e+00,8.490000000000000000e+02,2.069591692205270395e+00,1.000000000000000000e+00,2.069591692205270395e+00
1.519437001521153352e+00,1.407013334990468101e+00,8.490000000000000000e+02,1.814032572970217139e+00,1.000000000000000000e+00,1.814032572970217139e+00
1.569680238964138441e+00,1.363363583492208209e+00,8.490000000000000000e+02,1.935674656361593637e+00,1.000000000000000000e+00,1.935674656361593637e+00
1.542958133806919818e+00,1.386597414855559984e+00,8.490000000000000000e+02,1.870190793893776071e+00,1.000000000000000000e+00,1.870190793893776071e+00
1.568860541016219967e+00,1.364314594435159567e+00,8.490000000000000000e+02,1.933467872793867226e+00,1.000000000000000000e+00,1.933467872793867226e+00
1.562569178096214095e+00,1.369302916584734797e+00,8.490000000000000000e+02,1.918245725062223128e+00,1.000000000000000000e+00,1.918245725062223128e+00
1.823855118538175502e+00,1.182985033694566868e+00,8.490000000000000000e+02,2.613490879933189515e+00,1.000000000000000000e+00,2.613490879933189515e+00
1.494799953072604826e+00,1.430154606566792275e+00,8.490000000000000000e+02,1.755538413635647776e+00,1.000000000000000000e+00,1.755538413635647776e+00
2.054083615122662465e+00,1.062880218265192411e+00,8.490000000000000000e+02,3.315286947167444431e+00,1.000000000000000000e+00,3.315286947167444431e+00
1.620851757992818776e+00,1.322024345190348393e+00,8.490000000000000000e+02,2.063722689137872379e+00,1.000000000000000000e+00,2.063722689137872379e+00
1.490559913946733372e+00,1.434443318141574775e+00,8.490000000000000000e+02,1.745438082848649097e+00,1.000000000000000000e+00,1.745438082848649097e+00
1.567940924404021441e+00,1.364502411783631963e+00,8.490000000000000000e+02,1.931625433816884119e+00,1.000000000000000000e+00,1.931625433816884119e+00
1.563951888224945908e+00,1.368310869545440456e+00,8.490000000000000000e+02,1.921509141768831475e+00,1.000000000000000000e+00,1.921509141768831475e+00
1.908265460807230252e+00,1.135153636314906622e+00,8.490000000000000000e+02,2.861105492641632608e+00,1.000000000000000000e+00,2.861105492641632608e+00
1.509324958049761634e+00,1.416023224688984117e+00,8.490000000000000000e+02,1.790148842348002312e+00,1.000000000000000000e+00,1.790148842348002312e+00
1.478011953219844354e+00,1.446462711579189042e+00,8.490000000000000000e+02,1.716225506387772937e+00,1.000000000000000000e+00,1.716225506387772937e+00
1.462694355615100639e+00,1.461391793581094056e+00,8.490000000000000000e+02,1.680943258984965327e+00,1.000000000000000000e+00,1.680943258984965327e+00
1.648178676457699776e+00,1.300978086614867024e+00,8.490000000000000000e+02,2.133946810677915362e+00,1.000000000000000000e+00,2.133946810677915362e+00
1.745321884839466486e+00,1.232154254248965630e+00,8.490000000000000000e+02,2.393295683943919450e+00,1.000000000000000000e+00,2.393295683943919450e+00
1.876172715588286577e+00,1.153254407939184878e+00,8.490000000000000000e+02,2.765024413561139482e+00,1.000000000000000000e+00,2.765024413561139482e+00
1.947644998515218662e+00,1.114104087044811120e+00,8.490000000000000000e+02,2.980932752815446118e+00,1.000000000000000000e+00,2.980932752815446118e+00
1.467971352150668318e+00,1.456381160946606634e+00,8.490000000000000000e+02,1.692955433232260942e+00,1.000000000000000000e+00,1.692955433232260942e+00
1.682262566499052481e+00,1.275723756415609866e+00,8.490000000000000000e+02,2.223292178509896022e+00,1.000000000000000000e+00,2.223292178509896022e+00
1.530251834163848690e+00,1.398074862570993115e+00,8.490000000000000000e+02,1.839389577339911819e+00,1.000000000000000000e+00,1.839389577339911819e+00
1.800703861279174145e+00,1.197138419991819358e+00,8.490000000000000000e+02,2.547383602484639464e+00,1.000000000000000000e+00,2.547383602484639464e+00
1.469966563730487286e+00,1.454114120787120434e+00,8.490000000000000000e+02,1.697732310626797858e+00,1.000000000000000000e+00,1.697732310626797858e+00
1.511495592200931215e+00,1.414439172301413583e+00,8.490000000000000000e+02,1.795031200006476535e+00,1.000000000000000000e+00,1.795031200006476535e+00
1.599378050155596087e+00,1.338691065405076985e+00,8.490000000000000000e+02,2.009720982267479528e+00,1.000000000000000000e+00,2.009720982267479528e+00
1.560786437524074977e+00,1.370958181510097962e+00,8.490000000000000000e+02,1.913778090667824561e+00,1.000000000000000000e+00,1.913778090667824561e+00
1.597132511623697626e+00,1.340411720266764917e+00,8.490000000000000000e+02,2.004154893841840757e+00,1.000000000000000000e+00,2.004154893841840757e+00
1.494967446656427335e+00,1.429698996610100137e+00,8.490000000000000000e+02,1.756114914110219916e+00,1.000000000000000000e+00,1.756114914110219916e+00
1.653851473458773036e+00,1.296588564173664526e+00,8.490000000000000000e+02,2.148776040257853737e+00,1.000000000000000000e+00,2.148776040257853737e+00
1.549640428910307399e+00,1.380784938368434300e+00,8.490000000000000000e+02,1.886400148487999529e+00,1.000000000000000000e+00,1.886400148487999529e+00
1.612064636488706570e+00,1.328219839027506399e+00,8.490000000000000000e+02,2.041979247043816947e+00,1.000000000000000000e+00,2.041979247043816947e+00
1.470979019461983839e+00,1.453229005471388335e+00,8.490000000000000000e+02,1.700005350435823015e+00,1.000000000000000000e+00,1.700005350435823015e+00
1.508647763771474359e+00,1.417473421851304760e+00,8.490000000000000000e+02,1.788020532800726370e+00,1.000000000000000000e+00,1.788020532800726370e+00
1.850410686639487823e+00,1.167676546414824656e+00,8.490000000000000000e+02,2.689850868863831401e+00,1.000000000000000000e+00,2.689850868863831401e+00
1.526810342836535828e+00,1.400500790632429160e+00,8.490000000000000000e+02,1.831567347418902925e+00,1.000000000000000000e+00,1.831567347418902925e+00
1.991724940748796024e+00,1.092179629732488610e+00,8.490000000000000000e+02,3.117201303566969006e+00,1.000000000000000000e+00,3.117201303566969006e+00
1.509587464209630747e+00,1.416594953721068251e+00,8.490000000000000000e+02,1.790253197603594248e+00,1.000000000000000000e+00,1.790253197603594248e+00
1.504084288799049540e+00,1.421420234699601437e+00,8.490000000000000000e+02,1.777410344131777009e+00,1.000000000000000000e+00,1.777410344131777009e+00
1.777140139471146796e+00,1.211796510814461048e+00,8.490000000000000000e+02,2.481166279125785135e+00,1.000000000000000000e+00,2.481166279125785135e+00
1.949496990845327682e+00,1.113541045581752931e+00,8.490000000000000000e+02,2.986058672496392674e+00,1.000000000000000000e+00,2.986058672496392674e+00
1.770596914102946728e+00,1.216307080147254860e+00,8.490000000000000000e+02,2.462554756040523873e+00,1.000000000000000000e+00,2.462554756040523873e+00
1.624819482547628979e+00,1.318508426640828901e+00,8.490000000000000000e+02,2.074173822616344864e+00,1.000000000000000000e+00,2.074173822616344864e+00
1.649505884645632969e+00,1.299953416974918285e+00,8.490000000000000000e+02,2.137406986200324877e+00,1.000000000000000000e+00,2.137406986200324877e+00
1.470304790393262007e+00,1.454128996935444951e+00,8.490000000000000000e+02,1.698309812031316701e+00,1.000000000000000000e+00,1.698309812031316701e+00
1.632176915454246480e+00,1.312887038489513936e+00,8.490000000000000000e+02,2.092939397401871737e+00,1.000000000000000000e+00,2.092939397401871737e+00
1.976643076775788321e+00,1.099758673125141417e+00,8.490000000000000000e+02,3.069938889598145426e+00,1.000000000000000000e+00,3.069938889598145426e+00
1.466230044849553993e+00,1.458302646872943198e+00,8.490000000000000000e+02,1.688828922303572622e+00,1.000000000000000000e+00,1.688828922303572622e+00
1.594857816504507086e+00,1.342127805442388633e+00,8.490000000000000000e+02,1.998548994509026899e+00,1.000000000000000000e+00,1.998548994509026899e+00
1.551677129550186773e+00,1.378538683204360016e+00,8.490000000000000000e+02,1.891692098254134091e+00,1.000000000000000000e+00,1.891692098254134091e+00
1.657947048402494294e+00,1.293108755042076785e+00,8.490000000000000000e+02,2.159799177234440926e+00,1.000000000000000000e+00,2.159799177234440926e+00
1.840147323774262267e+00,1.173169492798034508e+00,8.490000000000000000e+02,2.660640114078664187e+00,1.000000000000000000e+00,2.660640114078664187e+00
1.478960620244149426e+00,1.446317913164353319e+00,8.490000000000000000e+02,1.717965508378251238e+00,1.000000000000000000e+00,1.717965508378251238e+00
1.492132944358227187e+00,1.433044195591688386e+00,8.490000000000000000e+02,1.749062023638435104e+00,1.000000000000000000e+00,1.749062023638435104e+00
1.771288525402088920e+00,1.215049268049816833e+00,8.490000000000000000e+02,2.465338092458328578e+00,1.000000000000000000e+00,2.465338092458328578e+00
1.656866782181185993e+00,1.294493717218016426e+00,8.490000000000000000e+02,2.156488325608462819e+00,1.000000000000000000e+00,2.156488325608462819e+00
1.922962148197443932e+00,1.127612733839889803e+00,8.490000000000000000e+02,2.904954837407728085e+00,1.000000000000000000e+00,2.904954837407728085e+00
1.592828138219720246e+00,1.343591057594882843e+00,8.490000000000000000e+02,1.993608308268518314e+00,1.000000000000000000e+00,1.993608308268518314e+00
1.536315820855890690e+00,1.391806484772202035e+00,8.490000000000000000e+02,1.854570012909541044e+00,1.000000000000000000e+00,1.854570012909541044e+00
1.852050273771797206e+00,1.166438437209808443e+00,8.490000000000000000e+02,2.694974732779348070e+00,1.000000000000000000e+00,2.694974732779348070e+00
