m1_source,m2_source,dL,likelihood,prior,posterior
1.529741055221501167e+00,1.006532812413929667e+00,8.860000000000000000e+02,2.175742817399226592e+00,1.000000000000000000e+00,2.175742817399226592e+00
1.334064730356299577e+00,1.146167935946796668e+00,8.860000000000000000e+02,1.654234961767570677e+00,1.000000000000000000e+00,1.654234961767570677e+00
1.316094154882995859e+00,1.161019343625479650e+00,8.860000000000000000e+02,1.610227547855459074e+00,1.000000000000000000e+00,1.610227547855459074e+00
1.345357940033642619e+00,1.136769474114773137e+00,8.860000000000000000e+02,1.682419747205561755e+00,1.000000000000000000e+00,1.682419747205561755e+00
1.549515169416609606e+00,9.945985073907059881e-01,8.860000000000000000e+02,2.232506776405512650e+00,1.000000000000000000e+00,2.232506776405512650e+00
1.430066390100684259e+00,1.072486699608995231e+00,8.860000000000000000e+02,1.900816488845383123e+00,1.000000000000000000e+00,1.900816488845383123e+00
1.320864537521969639e+00,1.156706910212660144e+00,8.860000000000000000e+02,1.622082100906066859e+00,1.000000000000000000e+00,1.622082100906066859e+00
1.238964547237399128e+00,1.232195808993067798e+00,8.860000000000000000e+02,1.427101229323502363e+00,1.000000000000000000e+00,1.427101229323502363e+00
1.573667185359500342e+00,9.812220970616218896e-01,8.860000000000000000e+02,2.301929769017563299e+00,1.000000000000000000e+00,2.301929769017563299e+00
1.339060911609913695e+00,1.142308230260862922e+00,8.860000000000000000e+02,1.666436455404670891e+00,1.000000000000000000e+00,1.666436455404670891e+00
1.283062700505788412e+00,1.190082977674602249e+00,8.860000000000000000e+02,1.530560939129047782e+00,1.000000000000000000e+00,1.530560939129047782e+00
1.667850004095943195e+00,9.310179782089555989e-01,8.860000000000000000e+02,2.585840837027262307e+00,1.000000000000000000e+00,2.585840837027262307e+00
1.446683876050742334e+00,1.060395826323619950e+00,8.860000000000000000e+02,1.945700183485538970e+00,1.000000000000000000e+00,1.945700183485538970e+00
1.289090856547535191e+00,1.185362186508597038e+00,8.860000000000000000e+02,1.544479474749709480e+00,1.000000000000000000e+00,1.544479474749709480e+00
1.363242868143323294e+00,1.121984470410465118e+00,8.860000000000000000e+02,1.727760914160844541e+00,1.000000000000000000e+00,1.727760914160844541e+00
1.280053737681581039e+00,1.193116670695227421e+00,8.860000000000000000e+02,1.523212667766688400e+00,1.000000000000000000e+00,1.523212667766688400e+00
1.383171902482705828e+00,1.106634767732321389e+00,8.860000000000000000e+02,1.778513476377865166e+00,1.000000000000000000e+00,1.778513476377865166e+00
1.517180998513095735e+00,1.014918287768657557e+00,8.860000000000000000e+02,2.139389461263509595e+00,1.000000000000000000e+00,2.139389461263509595e+00
1.255693473341187527e+00,1.216138867704623650e+00,8.860000000000000000e+02,1.465719927832604963e+00,1.000000000000000000e+00,1.465719927832604963e+00
1.450555823455508708e+00,1.057944081898237298e+00,8.860000000000000000e+02,1.955930484014990478e+00,1.000000000000000000e+00,1.955930484014990478e+00
1.422251450046582377e+00,1.077716506134070995e+00,8.860000000000000000e+02,1.880403743141208395e+00,1.000000000000000000e+00,1.880403743141208395e+00
1.621221533373129686e+00,9.547897772355106172e-01,8.860000000000000000e+02,2.443566742943329206e+00,1.000000000000000000e+00,2.443566742943329206e+00
1.502632983772198783e+00,1.023354377001252757e+00,8.860000000000000000e+02,2.099252545584009866e+00,1.000000000000000000e+00,2.099252545584009866e+00
1.769534068573124452e+00,8.833916742686662715e-01,8.860000000000000000e+02,2.911089364098936372e+00,1.000000000000000000e+00,2.911089364098936372e+00
1.239194456854041171e+00,1.231873382609592005e+00,8.860000000000000000e+02,1.427685463951253286e+00,1.000000000000000000e+00,1.427685463951253286e+00
1.469476851572825371e+00,1.044882643197058814e+00,8.860000000000000000e+02,2.007579785330273481e+00,1.000000000000000000e+00,2.007579785330273481e+00
1.315390517124017000e+00,1.161380367194429608e+00,8.860000000000000000e+02,1.608677797821794764e+00,1.000000000000000000e+00,1.608677797821794764e+00
1.478592475056343725e+00,1.038999357232754273e+00,8.860000000000000000e+02,2.032430881596378747e+00,1.000000000000000000e+00,2.032430881596378747e+00
1.359421347522412615e+00,1.125566009386234523e+00,8.860000000000000000e+02,1.717663055694199192e+00,1.000000000000000000e+00,1.717663055694199192e+00
1.284645282588205317e+00,1.188619214008990177e+00,8.860000000000000000e+02,1.534351922650083244e+00,1.000000000000000000e+00,1.534351922650083244e+00
1.242316707324494951e+00,1.228732374005843120e+00,8.860000000000000000e+02,1.434918219522908212e+00,1.000000000000000000e+00,1.434918219522908212e+00
1.413413327820199905e+00,1.084212324797389382e+00,8.860000000000000000e+02,1.857007768012169269e+00,1.000000000000000000e+00,1.857007768012169269e+00
1.281347188683199967e+00,1.191802157902497550e+00,8.860000000000000000e+02,1.526374551588696171e+00,1.000000000000000000e+00,1.526374551588696171e+00
1.417201465139731109e+00,1.081592810871938592e+00,8.860000000000000000e+02,1.866861309230641419e+00,1.000000000000000000e+00,1.866861309230641419e+00
1.268742670139568984e+00,1.203840582338729925e+00,8.860000000000000000e+02,1.496276177879753089e+00,1.000000000000000000e+00,1.496276177879753089e+00
1.621680749504452068e+00,9.544821741807718585e-01,8.860000000000000000e+02,2.445037238013260783e+00,1.000000000000000000e+00,2.445037238013260783e+00
1.275822835965970903e+00,1.197114437839223999e+00,8.860000000000000000e+02,1.513100374569328110e+00,1.000000000000000000e+00,1.513100374569328110e+00
1.481181414342356728e+00,1.036955476481838501e+00,8.860000000000000000e+02,2.039911643595988533e+00,1.000000000000000000e+00,2.039911643595988533e+00
1.645536588979012560e+00,9.423498162210408591e-01,8.860000000000000000e+02,2.517052722739069548e+00,1.000000000000000000e+00,2.517052722739069548e+00
1.391796459170939748e+00,1.099958369792189750e+00,8.860000000000000000e+02,1.800865717787681008e+00,1.000000000000000000e+00,1.800865717787681008e+00
1.346898058359345285e+00,1.135615976742271105e+00,8.860000000000000000e+02,1.686196035040991470e+00,1.000000000000000000e+00,1.686196035040991470e+00
1.466409346000317360e+00,1.047002624372203705e+00,8.860000000000000000e+02,1.999131588327651698e+00,1.000000000000000000e+00,1.999131588327651698e+00
1.265011960180622230e+00,1.207043061020487418e+00,8.860000000000000000e+02,1.487683179062186278e+00,1.000000000000000000e+00,1.487683179062186278e+00
1.238518716800398600e+00,1.232271686103171504e+00,8.860000000000000000e+02,1.426286931827346116e+00,1.000000000000000000e+00,1.426286931827346116e+00
1.436992148972896510e+00,1.067197826501873781e+00,8.860000000000000000e+02,1.919652632586901886e+00,1.000000000000000000e+00,1.919652632586901886e+00
1.397554915804851250e+00,1.095610791079446589e+00,8.860000000000000000e+02,1.815820367972886151e+00,1.000000000000000000e+00,1.815820367972886151e+00
1.307247851723658538e+00,1.169074547948902865e+00,8.860000000000000000e+02,1.588390296967011395e+00,1.000000000000000000e+00,1.588390296967011395e+00
1.320023548225515819e+00,1.158145125714444834e+00,8.860000000000000000e+02,1.619506638701268653e+00,1.000000000000000000e+00,1.619506638701268653e+00
1.714776690047078000e+00,9.080494216217936954e-01,8.860000000000000000e+02,2.733875970839638736e+00,1.000000000000000000e+00,2.733875970839638736e+00
1.385828068139791647e+00,1.104878988074610602e+00,8.860000000000000000e+02,1.785125673192470508e+00,1.000000000000000000e+00,1.785125673192470508e+00
1.306472890854777136e+00,1.168805622020893331e+00,8.860000000000000000e+02,1.587157416658087072e+00,1.000000000000000000e+00,1.587157416658087072e+00
1.466493122593002685e+00,1.047042477665618865e+00,8.860000000000000000e+02,1.999265493874799793e+00,1.000000000000000000e+00,1.999265493874799793e+00
1.410095002988936752e+00,1.086815380437518685e+00,8.860000000000000000e+02,1.848139922630553045e+00,1.000000000000000000e+00,1.848139922630553045e+00
1.272324983648961849e+00,1.200908861053721743e+00,8.860000000000000000e+02,1.504472604139683867e+00,1.000000000000000000e+00,1.504472604139683867e+00
