m1_source,m2_source,dL,likelihood,prior,posterior
2.082276565552235059e+00,1.606512682760839583e+00,9.710000000000000000e+02,2.727721643454984246e+00,1.000000000000000000e+00,2.727721643454984246e+00
1.876313164312857440e+00,1.776691909179803242e+00,9.710000000000000000e+02,2.215084183870394963e+00,1.000000000000000000e+00,2.215084183870394963e+00
1.855018293589257850e+00,1.797314101213197013e+00,9.710000000000000000e+02,2.164846688545983167e+00,1.000000000000000000e+00,2.164846688545983167e+00
1.878538701353847706e+00,1.774797441870503256e+00,9.710000000000000000e+02,2.220224320874902180e+00,1.000000000000000000e+00,2.220224320874902180e+00
2.516294087100402699e+00,1.350836315701727575e+00,9.710000000000000000e+02,3.982741163718078514e+00,1.000000000000000000e+00,3.982741163718078514e+00
2.437209825287333320e+00,1.389475340164254558e+00,9.710000000000000000e+02,3.736836779576382828e+00,1.000000000000000000e+00,3.736836779576382828e+00
1.829501467630876288e+00,1.821670927312136756e+00,9.710000000000000000e+02,2.106058248480001449e+00,1.000000000000000000e+00,2.106058248480001449e+00
1.948417485287500028e+00,1.713033879679398686e+00,9.710000000000000000e+02,2.387953733997167927e+00,1.000000000000000000e+00,2.387953733997167927e+00
1.936776506126186126e+00,1.722752110998393205e+00,9.710000000000000000e+02,2.359731916934896034e+00,1.000000000000000000e+00,2.359731916934896034e+00
1.960263848053700908e+00,1.702668099786668776e+00,9.710000000000000000e+02,2.417286425153893248e+00,1.000000000000000000e+00,2.417286425153893248e+00
1.839740669398907791e+00,1.812028319971367374e+00,9.710000000000000000e+02,2.129418012014093087e+00,1.000000000000000000e+00,2.129418012014093087e+00
1.946202614317102952e+00,1.714530640524594141e+00,9.710000000000000000e+02,2.382811780937578394e+00,1.000000000000000000e+00,2.382811780937578394e+00
1.945320243777630909e+00,1.715132857945112610e+00,9.710000000000000000e+02,2.380761319576402801e+00,1.000000000000000000e+00,2.380761319576402801e+00
2.510323507309357716e+00,1.353445168539462840e+00,9.710000000000000000e+02,3.964235021475277509e+00,1.000000000000000000e+00,3.964235021475277509e+00
2.301445100866889248e+00,1.463713990431977141e+00,9.710000000000000000e+02,3.331837404029625027e+00,1.000000000000000000e+00,3.331837404029625027e+00
2.077158689174133599e+00,1.609653943558254863e+00,9.710000000000000000e+02,2.714865071098517824e+00,1.000000000000000000e+00,2.714865071098517824e+00
1.866204817961464535e+00,1.786920019827811901e+00,9.710000000000000000e+02,2.190851104380012959e+00,1.000000000000000000e+00,2.190851104380012959e+00
2.025220147096014500e+00,1.649633620632860342e+00,9.710000000000000000e+02,2.580338293975107611e+00,1.000000000000000000e+00,2.580338293975107611e+00
2.135008971587574411e+00,1.569327779241237675e+00,9.710000000000000000e+02,2.867302284083873332e+00,1.000000000000000000e+00,2.867302284083873332e+00
2.332871595079994975e+00,1.445254219315525335e+00,9.710000000000000000e+02,3.424016942414965126e+00,1.000000000000000000e+00,3.424016942414965126e+00
2.141580981482647861e+00,1.564450736288526045e+00,9.710000000000000000e+02,2.885313402859245535e+00,1.000000000000000000e+00,2.885313402859245535e+00
2.081323455333297545e+00,1.607454552905336564e+00,9.710000000000000000e+02,2.725013712743066474e+00,1.000000000000000000e+00,2.725013712743066474e+00
2.162517707602658490e+00,1.549772951598441306e+00,9.710000000000000000e+02,2.942463536494164700e+00,1.000000000000000000e+00,2.942463536494164700e+00
2.228627710071193757e+00,1.507546450544923422e+00,9.710000000000000000e+02,3.124464089506983289e+00,1.000000000000000000e+00,3.124464089506983289e+00
2.586317477758860228e+00,1.318130923754158523e+00,9.710000000000000000e+02,4.208151598194350029e+00,1.000000000000000000e+00,4.208151598194350029e+00
1.872354445629751174e+00,1.780535252977003768e+00,9.710000000000000000e+02,2.205668588672427433e+00,1.000000000000000000e+00,2.205668588672427433e+00
2.574847692101668972e+00,1.323727919376669115e+00,9.710000000000000000e+02,4.170173436333104888e+00,1.000000000000000000e+00,4.170173436333104888e+00
2.252369300349158721e+00,1.492736376343922311e+00,9.710000000000000000e+02,3.191525984274936611e+00,1.000000000000000000e+00,3.191525984274936611e+00
2.061168124506560062e+00,1.621481467305697644e+00,9.710000000000000000e+02,2.673275206357343947e+00,1.000000000000000000e+00,2.673275206357343947e+00
1.976134254268642421e+00,1.689511982809809965e+00,9.710000000000000000e+02,2.456497740276282205e+00,1.000000000000000000e+00,2.456497740276282205e+00
2.522962544498522863e+00,1.347354263870523150e+00,9.710000000000000000e+02,4.004380583557930251e+00,1.000000000000000000e+00,4.004380583557930251e+00
2.456676944493934034e+00,1.379118374032572536e+00,9.710000000000000000e+02,3.797496902356818804e+00,1.000000000000000000e+00,3.797496902356818804e+00
1.992800047520244977e+00,1.675719961184794604e+00,9.710000000000000000e+02,2.498196108198075471e+00,1.000000000000000000e+00,2.498196108198075471e+00
2.283884233512644801e+00,1.473425382889093971e+00,9.710000000000000000e+02,3.281876464800530968e+00,1.000000000000000000e+00,3.281876464800530968e+00
2.346443146245657196e+00,1.438012845660070482e+00,9.710000000000000000e+02,3.463515078379201029e+00,1.000000000000000000e+00,3.463515078379201029e+00
2.204550445931258373e+00,1.522536024898352158e+00,9.710000000000000000e+02,3.057605175863237879e+00,1.000000000000000000e+00,3.057605175863237879e+00
2.273598203202507495e+00,1.479829662374188226e+00,9.710000000000000000e+02,3.252054252615018459e+00,1.000000000000000000e+00,3.252054252615018459e+00
1.827532555039986351e+00,1.823717858966016570e+00,9.710000000000000000e+02,2.101478272574448969e+00,1.000000000000000000e+00,2.101478272574448969e+00
1.837767658414356298e+00,1.813866638494792127e+00,9.710000000000000000e+02,2.124912688283005835e+00,1.000000000000000000e+00,2.124912688283005835e+00
2.316069232684797807e+00,1.454906841387323846e+00,9.710000000000000000e+02,3.374751476282733087e+00,1.000000000000000000e+00,3.374751476282733087e+00
2.019739656979883780e+00,1.654033778008365152e+00,9.710000000000000000e+02,2.566311672226488039e+00,1.000000000000000000e+00,2.566311672226488039e+00
1.948711439780525412e+00,1.711885289333340721e+00,9.710000000000000000e+02,2.389307960358468375e+00,1.000000000000000000e+00,2.389307960358468375e+00
1.949865715676884159e+00,1.711054946929830844e+00,9.710000000000000000e+02,2.392028083525246540e+00,1.000000000000000000e+00,2.392028083525246540e+00
2.159677348161390675e+00,1.552298750307034680e+00,9.710000000000000000e+02,2.934136216545018883e+00,1.000000000000000000e+00,2.934136216545018883e+00
1.981302170399128926e+00,1.684281915938260488e+00,9.710000000000000000e+02,2.470078566862089708e+00,1.000000000000000000e+00,2.470078566862089708e+00
2.088230275006337511e+00,1.602101094275285798e+00,9.710000000000000000e+02,2.743398303440564234e+00,1.000000000000000000e+00,2.743398303440564234e+00
2.361054850093389668e+00,1.430168975788447483e+00,9.710000000000000000e+02,3.506484958232953364e+00,1.000000000000000000e+00,3.506484958232953364e+00
2.409985298716758706e+00,1.403665964977827585e+00,9.710000000000000000e+02,3.653676435889320562e+00,1.000000000000000000e+00,3.653676435889320562e+00
2.075684879148197215e+00,1.611753315438103851e+00,9.710000000000000000e+02,2.710140441139695877e+00,1.000000000000000000e+00,2.710140441139695877e+00
1.933480498763225475e+00,1.725413310758678875e+00,9.710000000000000000e+02,2.351850920524839683e+00,1.000000000000000000e+00,2.351850920524839683e+00
1.870372174800895904e+00,1.782993641539488250e+00,9.710000000000000000e+02,2.200634927707528110e+00,1.000000000000000000e+00,2.200634927707528110e+00
2.149904780823443051e+00,1.558930199202235523e+00,9.710000000000000000e+02,2.907625142695364318e+00,1.000000000000000000e+00,2.907625142695364318e+00
2.153027383363241842e+00,1.556643272851745419e+00,9.710000000000000000e+02,2.916238144743806160e+00,1.000000000000000000e+00,2.916238144743806160e+00
2.083825491707031574e+00,1.605763196652411962e+00,9.710000000000000000e+02,2.731445729413942924e+00,1.000000000000000000e+00,2.731445729413942924e+00
