m1_source,m2_source,dL,likelihood,prior,posterior
1.711053356162554051e+00,1.148105728988253027e+00,9.410000000000000000e+02,2.408948453434200943e+00,1.000000000000000000e+00,2.408948453434200943e+00
1.514936686909617913e+00,1.288009634172495366e+00,9.410000000000000000e+02,1.888529466005782753e+00,1.000000000000000000e+00,1.888529466005782753e+00
1.467009900248294807e+00,1.329126899936712736e+00,9.410000000000000000e+02,1.770834918380506107e+00,1.000000000000000000e+00,1.770834918380506107e+00
1.790745345255442933e+00,1.101003131300069882e+00,9.410000000000000000e+02,2.638799140516075781e+00,1.000000000000000000e+00,2.638799140516075781e+00
1.470217570637029958e+00,1.325965587622842445e+00,9.410000000000000000e+02,1.778803697239410120e+00,1.000000000000000000e+00,1.778803697239410120e+00
1.488457918874729780e+00,1.310253180910233128e+00,9.410000000000000000e+02,1.823096535406965701e+00,1.000000000000000000e+00,1.823096535406965701e+00
1.819170592336892156e+00,1.086055761593569979e+00,9.410000000000000000e+02,2.722372306744173187e+00,1.000000000000000000e+00,2.722372306744173187e+00
1.619698631475582129e+00,1.209011266673857721e+00,9.410000000000000000e+02,2.158079178161883771e+00,1.000000000000000000e+00,2.158079178161883771e+00
1.608212749006600495e+00,1.216912663364861924e+00,9.410000000000000000e+02,2.127809781269224487e+00,1.000000000000000000e+00,2.127809781269224487e+00
1.414645179516874851e+00,1.377531422414693729e+00,9.410000000000000000e+02,1.646774759401529176e+00,1.000000000000000000e+00,1.646774759401529176e+00
1.568576428476055051e+00,1.245134125957347404e+00,9.410000000000000000e+02,2.025042584612781305e+00,1.000000000000000000e+00,2.025042584612781305e+00
2.041036158942156398e+00,9.800983044122870691e-01,9.410000000000000000e+02,3.428176760576659099e+00,1.000000000000000000e+00,3.428176760576659099e+00
1.411908848621532764e+00,1.379661224553072163e+00,9.410000000000000000e+02,1.640724093584633225e+00,1.000000000000000000e+00,1.640724093584633225e+00
1.427582153808121257e+00,1.365542453175829785e+00,9.410000000000000000e+02,1.676781572893133232e+00,1.000000000000000000e+00,1.676781572893133232e+00
1.698456624325599629e+00,1.156128118769787605e+00,9.410000000000000000e+02,2.373456376701271076e+00,1.000000000000000000e+00,2.373456376701271076e+00
1.465525725714235117e+00,1.330255668990080853e+00,9.410000000000000000e+02,1.767381871592371034e+00,1.000000000000000000e+00,1.767381871592371034e+00
1.482945422194611673e+00,1.314788770263506379e+00,9.410000000000000000e+02,1.809768118469048837e+00,1.000000000000000000e+00,1.809768118469048837e+00
1.424971848269535268e+00,1.367508239359902955e+00,9.410000000000000000e+02,1.670970736841618232e+00,1.000000000000000000e+00,1.670970736841618232e+00
1.457584576187691106e+00,1.337652241556370969e+00,9.410000000000000000e+02,1.748095111381409827e+00,1.000000000000000000e+00,1.748095111381409827e+00
1.667664906189877616e+00,1.175975819070090855e+00,9.410000000000000000e+02,2.288169622432195904e+00,1.000000000000000000e+00,2.288169622432195904e+00
1.892971672940036765e+00,1.047310159411618979e+00,9.410000000000000000e+02,2.948725621290104737e+00,1.000000000000000000e+00,2.948725621290104737e+00
1.559683701364589226e+00,1.252124687002818648e+00,9.410000000000000000e+02,2.001980047652515804e+00,1.000000000000000000e+00,2.001980047652515804e+00
1.502878100301209496e+00,1.297763807122840340e+00,9.410000000000000000e+02,1.858777386031022383e+00,1.000000000000000000e+00,1.858777386031022383e+00
