m1_source,m2_source,dL,likelihood,prior,posterior
2.263554510685175103e+00,1.297299275345731528e+00,7.510000000000000000e+02,3.460939946576469417e+00,1.000000000000000000e+00,3.460939946576469417e+00
1.868999266028205319e+00,1.550194872473332985e+00,7.510000000000000000e+02,2.359422722502031444e+00,1.000000000000000000e+00,2.359422722502031444e+00
2.109553323754924659e+00,1.382986050218312890e+00,7.510000000000000000e+02,3.006106018952464431e+00,1.000000000000000000e+00,3.006106018952464431e+00
2.354400958016916068e+00,1.252796286589474839e+00,7.510000000000000000e+02,3.744021205026636157e+00,1.000000000000000000e+00,3.744021205026636157e+00
2.073319955288909444e+00,1.405996110022799561e+00,7.510000000000000000e+02,2.902960749177513566e+00,1.000000000000000000e+00,2.902960749177513566e+00
1.941602457658551772e+00,1.494906614625610475e+00,7.510000000000000000e+02,2.546123697941050423e+00,1.000000000000000000e+00,2.546123697941050423e+00
1.851833049580857260e+00,1.564045756287506750e+00,7.510000000000000000e+02,2.316292394227682294e+00,1.000000000000000000e+00,2.316292394227682294e+00
2.145730366600751449e+00,1.362211733245079381e+00,7.510000000000000000e+02,3.109345053361125544e+00,1.000000000000000000e+00,3.109345053361125544e+00
1.910843912640481035e+00,1.517376622511956041e+00,7.510000000000000000e+02,2.466453973564937563e+00,1.000000000000000000e+00,2.466453973564937563e+00
2.076324324234478880e+00,1.403443045359668240e+00,7.510000000000000000e+02,2.912101010828568981e+00,1.000000000000000000e+00,2.912101010828568981e+00
2.072825839972861406e+00,1.406458680443622766e+00,7.510000000000000000e+02,2.901414264160745660e+00,1.000000000000000000e+00,2.901414264160745660e+00
1.890415884392944168e+00,1.533518509110231687e+00,7.510000000000000000e+02,2.413637110153348697e+00,1.000000000000000000e+00,2.413637110153348697e+00
2.044441018927011910e+00,1.424284417741615183e+00,7.510000000000000000e+02,2.822801707734020837e+00,1.000000000000000000e+00,2.822801707734020837e+00
2.136621234340903452e+00,1.366871117190090912e+00,7.510000000000000000e+02,3.083771930504517034e+00,1.000000000000000000e+00,3.083771930504517034e+00
2.025004357726221116e+00,1.436068411905557118e+00,7.510000000000000000e+02,2.770342186159981512e+00,1.000000000000000000e+00,2.770342186159981512e+00
2.003257672272962253e+00,1.451127369728620220e+00,7.510000000000000000e+02,2.710705702776421866e+00,1.000000000000000000e+00,2.710705702776421866e+00
2.202476729175709913e+00,1.329910035949802616e+00,7.510000000000000000e+02,3.276394223784813597e+00,1.000000000000000000e+00,3.276394223784813597e+00
1.848315684043693397e+00,1.566769406146392152e+00,7.510000000000000000e+02,2.307617716320685908e+00,1.000000000000000000e+00,2.307617716320685908e+00
2.132535692569955454e+00,1.369834498980638360e+00,7.510000000000000000e+02,3.071329294372076024e+00,1.000000000000000000e+00,3.071329294372076024e+00
2.068027077757597088e+00,1.409013121980795757e+00,7.510000000000000000e+02,2.888495059289810207e+00,1.000000000000000000e+00,2.888495059289810207e+00
1.710384806616261688e+00,1.690722956892703355e+00,7.510000000000000000e+02,1.976113890066723222e+00,1.000000000000000000e+00,1.976113890066723222e+00
2.018461255279826450e+00,1.440865190152789355e+00,7.510000000000000000e+02,2.752028227995748200e+00,1.000000000000000000e+00,2.752028227995748200e+00
1.733475558320574539e+00,1.668008583217380547e+00,7.510000000000000000e+02,2.030016337151819172e+00,1.000000000000000000e+00,2.030016337151819172e+00
1.784720601196083223e+00,1.621184908428769722e+00,7.510000000000000000e+02,2.151519661272218276e+00,1.000000000000000000e+00,2.151519661272218276e+00
2.218390668821977663e+00,1.320866245109221904e+00,7.510000000000000000e+02,3.324454201895257199e+00,1.000000000000000000e+00,3.324454201895257199e+00
1.903082742814296680e+00,1.523552544405103681e+00,7.510000000000000000e+02,2.446244453793497087e+00,1.000000000000000000e+00,2.446244453793497087e+00
2.023837913542130273e+00,1.437797531097713799e+00,7.510000000000000000e+02,2.766200428079200524e+00,1.000000000000000000e+00,2.766200428079200524e+00
2.201536309430130345e+00,1.330716297143169857e+00,7.510000000000000000e+02,3.273220474232463761e+00,1.000000000000000000e+00,3.273220474232463761e+00
1.870421033264576316e+00,1.548978671788909800e+00,7.510000000000000000e+02,2.363076818531317347e+00,1.000000000000000000e+00,2.363076818531317347e+00
1.967396375423321908e+00,1.475571583186772839e+00,7.510000000000000000e+02,2.614923813956299803e+00,1.000000000000000000e+00,2.614923813956299803e+00
2.082652616064900819e+00,1.399773885581989230e+00,7.510000000000000000e+02,2.929579111241428890e+00,1.000000000000000000e+00,2.929579111241428890e+00
2.378241161840587647e+00,1.241818867647395130e+00,7.510000000000000000e+02,3.820027154521036028e+00,1.000000000000000000e+00,3.820027154521036028e+00
1.767837774832204278e+00,1.636601237020226529e+00,7.510000000000000000e+02,2.110876184368418063e+00,1.000000000000000000e+00,2.110876184368418063e+00
1.932378956077351662e+00,1.501193205618702731e+00,7.510000000000000000e+02,2.522414770116018445e+00,1.000000000000000000e+00,2.522414770116018445e+00
1.808949651357464994e+00,1.600048248102698301e+00,7.510000000000000000e+02,2.210255961021847515e+00,1.000000000000000000e+00,2.210255961021847515e+00
2.250499459368245692e+00,1.304269154065163638e+00,7.510000000000000000e+02,3.420837240963827686e+00,1.000000000000000000e+00,3.420837240963827686e+00
1.896876875756638547e+00,1.528271160862643807e+00,7.510000000000000000e+02,2.430358930906026504e+00,1.000000000000000000e+00,2.430358930906026504e+00
1.798107113378069943e+00,1.608997111031630345e+00,7.510000000000000000e+02,2.184166330096358077e+00,1.000000000000000000e+00,2.184166330096358077e+00
1.740798605512225095e+00,1.661986929468679097e+00,7.510000000000000000e+02,2.046625096780871012e+00,1.000000000000000000e+00,2.046625096780871012e+00
1.786763060606272990e+00,1.619235711194741967e+00,7.510000000000000000e+02,2.156535465888558711e+00,1.000000000000000000e+00,2.156535465888558711e+00
1.943402273958617865e+00,1.494035557855790008e+00,7.510000000000000000e+02,2.550458136764931716e+00,1.000000000000000000e+00,2.550458136764931716e+00
2.104042144875186704e+00,1.385973995825140026e+00,7.510000000000000000e+02,2.990808776939651636e+00,1.000000000000000000e+00,2.990808776939651636e+00
1.711861905831745689e+00,1.689315054565870167e+00,7.510000000000000000e+02,1.979500760817296534e+00,1.000000000000000000e+00,1.979500760817296534e+00
2.069505543405028014e+00,1.407931752772442868e+00,7.510000000000000000e+02,2.892784828165379629e+00,1.000000000000000000e+00,2.892784828165379629e+00
2.257404062477264883e+00,1.300267708311793058e+00,7.510000000000000000e+02,3.442441212778282189e+00,1.000000000000000000e+00,3.442441212778282189e+00
