m1_source,m2_source,dL,likelihood,prior,posterior
1.730838292574428783e+00,1.647340628776807092e+00,8.260000000000000000e+02,2.038100410802522244e+00,1.000000000000000000e+00,2.038100410802522244e+00
1.832153496565811723e+00,1.558211749614968777e+00,8.260000000000000000e+02,2.283599875612771779e+00,1.000000000000000000e+00,2.283599875612771779e+00
2.037902859117281196e+00,1.408095937653125684e+00,8.260000000000000000e+02,2.825794314674560326e+00,1.000000000000000000e+00,2.825794314674560326e+00
1.783012830922441783e+00,1.599595465974108732e+00,8.260000000000000000e+02,2.163019820850026864e+00,1.000000000000000000e+00,2.163019820850026864e+00
1.839448150267070314e+00,1.551612317136064512e+00,8.260000000000000000e+02,2.302288512383760199e+00,1.000000000000000000e+00,2.302288512383760199e+00
1.821524426269681918e+00,1.566218202101934409e+00,8.260000000000000000e+02,2.257770118310449270e+00,1.000000000000000000e+00,2.257770118310449270e+00
1.835661107772743161e+00,1.554690922243844531e+00,8.260000000000000000e+02,2.292830923860463610e+00,1.000000000000000000e+00,2.292830923860463610e+00
2.069043463999105548e+00,1.388785014496098924e+00,8.260000000000000000e+02,2.912440997378349827e+00,1.000000000000000000e+00,2.912440997378349827e+00
1.969606995143473815e+00,1.453653616153453010e+00,8.260000000000000000e+02,2.639628702026755036e+00,1.000000000000000000e+00,2.639628702026755036e+00
1.794463535879933458e+00,1.589460393068422128e+00,8.260000000000000000e+02,2.191002054919271469e+00,1.000000000000000000e+00,2.191002054919271469e+00
1.792692896838225414e+00,1.591416756698677659e+00,8.260000000000000000e+02,2.186385740029028746e+00,1.000000000000000000e+00,2.186385740029028746e+00
1.737115962391081680e+00,1.641688730764845117e+00,8.260000000000000000e+02,2.052761354353140444e+00,1.000000000000000000e+00,2.052761354353140444e+00
1.896117383106288079e+00,1.507265816476321074e+00,8.260000000000000000e+02,2.446130190995285059e+00,1.000000000000000000e+00,2.446130190995285059e+00
1.798015348299410787e+00,1.586163497957927104e+00,8.260000000000000000e+02,2.199847843122054059e+00,1.000000000000000000e+00,2.199847843122054059e+00
2.053495735599144556e+00,1.398753882105447266e+00,8.260000000000000000e+02,2.868580108301220566e+00,1.000000000000000000e+00,2.868580108301220566e+00
2.086175591520417871e+00,1.377754154061748171e+00,8.260000000000000000e+02,2.961433475634831947e+00,1.000000000000000000e+00,2.961433475634831947e+00
2.077568065133684083e+00,1.383192379044741793e+00,8.260000000000000000e+02,2.936852401674376001e+00,1.000000000000000000e+00,2.936852401674376001e+00
1.852388039743063208e+00,1.541573654614597277e+00,8.260000000000000000e+02,2.334466117850240607e+00,1.000000000000000000e+00,2.334466117850240607e+00
1.930227939985559971e+00,1.482469991163237522e+00,8.260000000000000000e+02,2.534428596034580483e+00,1.000000000000000000e+00,2.534428596034580483e+00
1.780354363956853758e+00,1.602071831316242534e+00,8.260000000000000000e+02,2.156480373684894314e+00,1.000000000000000000e+00,2.156480373684894314e+00
1.703053258328123487e+00,1.673719599737975239e+00,8.260000000000000000e+02,1.973377944150962016e+00,1.000000000000000000e+00,1.973377944150962016e+00
1.701405293881351311e+00,1.674709062444908358e+00,8.260000000000000000e+02,1.969929569278691339e+00,1.000000000000000000e+00,1.969929569278691339e+00
2.297049143386250769e+00,1.262999536518588428e+00,8.260000000000000000e+02,3.589943999106004036e+00,1.000000000000000000e+00,3.589943999106004036e+00
2.032693120511719798e+00,1.412093566956517332e+00,8.260000000000000000e+02,2.810702800456213790e+00,1.000000000000000000e+00,2.810702800456213790e+00
2.392840075221704055e+00,1.217992560686856240e+00,8.260000000000000000e+02,3.895954116820117275e+00,1.000000000000000000e+00,3.895954116820117275e+00
1.850996077168699738e+00,1.542513184943075766e+00,8.260000000000000000e+02,2.331096082372542178e+00,1.000000000000000000e+00,2.331096082372542178e+00
1.753197631829921388e+00,1.626364303899553443e+00,8.260000000000000000e+02,2.091243515345277970e+00,1.000000000000000000e+00,2.091243515345277970e+00
1.731827206748196346e+00,1.646172211420862119e+00,8.260000000000000000e+02,2.040577697167924587e+00,1.000000000000000000e+00,2.040577697167924587e+00
1.693838048936517016e+00,1.682944331299621954e+00,8.260000000000000000e+02,1.951998152310710388e+00,1.000000000000000000e+00,1.951998152310710388e+00
1.760245795329417717e+00,1.619814760944227716e+00,8.260000000000000000e+02,2.108183095895931558e+00,1.000000000000000000e+00,2.108183095895931558e+00
1.748665924089011892e+00,1.630743277385489298e+00,8.260000000000000000e+02,2.080301988919906808e+00,1.000000000000000000e+00,2.080301988919906808e+00
1.844581400163972651e+00,1.547902938848178200e+00,8.260000000000000000e+02,2.314804354035881584e+00,1.000000000000000000e+00,2.314804354035881584e+00
2.116681285258686263e+00,1.359619962739343491e+00,8.260000000000000000e+02,3.048531025829823715e+00,1.000000000000000000e+00,3.048531025829823715e+00
1.920609243514349140e+00,1.488747180314499818e+00,8.260000000000000000e+02,2.509900647599606849e+00,1.000000000000000000e+00,2.509900647599606849e+00
1.728758910123118442e+00,1.648822704657661342e+00,8.260000000000000000e+02,2.033503850122190038e+00,1.000000000000000000e+00,2.033503850122190038e+00
2.013353476012722076e+00,1.424347871229546980e+00,8.260000000000000000e+02,2.757858798985561855e+00,1.000000000000000000e+00,2.757858798985561855e+00
1.928641694172922527e+00,1.482867953604864120e+00,8.260000000000000000e+02,2.530929248521453623e+00,1.000000000000000000e+00,2.530929248521453623e+00
2.280327483079296780e+00,1.271215668622176942e+00,8.260000000000000000e+02,3.537919825578066391e+00,1.000000000000000000e+00,3.537919825578066391e+00
