m1_source,m2_source,dL,likelihood,prior,posterior
2.578595919741284881e+00,1.441002561468307741e+00,6.830000000000000000e+02,3.995529031345847581e+00,1.000000000000000000e+00,3.995529031345847581e+00
2.035338882060143462e+00,1.796364988850938982e+00,6.830000000000000000e+02,2.489619971544180022e+00,1.000000000000000000e+00,2.489619971544180022e+00
2.937672387872620305e+00,1.285871041678139814e+00,6.830000000000000000e+02,5.185870278803435873e+00,1.000000000000000000e+00,5.185870278803435873e+00
2.141082647274372697e+00,1.710524000518285570e+00,6.830000000000000000e+02,2.755102028787780988e+00,1.000000000000000000e+00,2.755102028787780988e+00
2.037402463834371513e+00,1.795716385596233255e+00,6.830000000000000000e+02,2.493878938723311123e+00,1.000000000000000000e+00,2.493878938723311123e+00
2.427436947102870946e+00,1.520221668590068465e+00,6.830000000000000000e+02,3.542671697276123854e+00,1.000000000000000000e+00,3.542671697276123854e+00
1.996843636363611063e+00,1.830589004468967218e+00,6.830000000000000000e+02,2.396120659272490183e+00,1.000000000000000000e+00,2.396120659272490183e+00
2.064314410688919299e+00,1.770081312744038238e+00,6.830000000000000000e+02,2.562298002945516462e+00,1.000000000000000000e+00,2.562298002945516462e+00
2.272791003641827956e+00,1.616184092495192681e+00,6.830000000000000000e+02,3.104958772586785987e+00,1.000000000000000000e+00,3.104958772586785987e+00
2.428770436119537912e+00,1.521165746022147935e+00,6.830000000000000000e+02,3.544485045816977209e+00,1.000000000000000000e+00,3.544485045816977209e+00
2.000822945400334341e+00,1.825611603637495861e+00,6.830000000000000000e+02,2.406611281799518665e+00,1.000000000000000000e+00,2.406611281799518665e+00
2.311286558498880872e+00,1.591682761512093203e+00,6.830000000000000000e+02,3.210409493035977224e+00,1.000000000000000000e+00,3.210409493035977224e+00
1.998102120874732712e+00,1.828637678775018038e+00,6.830000000000000000e+02,2.399683367086844044e+00,1.000000000000000000e+00,2.399683367086844044e+00
2.127485667701040306e+00,1.721354163928343839e+00,6.830000000000000000e+02,2.719926242864791011e+00,1.000000000000000000e+00,2.719926242864791011e+00
