m1_source,m2_source,dL,likelihood,prior,posterior
1.941133506835983846e+00,1.828862858779148892e+00,7.530000000000000000e+02,2.297402402553381684e+00,1.000000000000000000e+00,2.297402402553381684e+00
2.041377750607078045e+00,1.739044178721747436e+00,7.530000000000000000e+02,2.542227507395265818e+00,1.000000000000000000e+00,2.542227507395265818e+00
2.341430738102651343e+00,1.528056180979416423e+00,7.530000000000000000e+02,3.344420871133587436e+00,1.000000000000000000e+00,3.344420871133587436e+00
2.005118830336321434e+00,1.770226956069096635e+00,7.530000000000000000e+02,2.452280467366199090e+00,1.000000000000000000e+00,2.452280467366199090e+00
2.076161486669694245e+00,1.711958148811536962e+00,7.530000000000000000e+02,2.628781161570629799e+00,1.000000000000000000e+00,2.628781161570629799e+00
2.572603095725599864e+00,1.404295646621072535e+00,7.530000000000000000e+02,4.036042028557962347e+00,1.000000000000000000e+00,4.036042028557962347e+00
2.198073802775623697e+00,1.621150965196778371e+00,7.530000000000000000e+02,2.946864360709141373e+00,1.000000000000000000e+00,2.946864360709141373e+00
1.921842938076763874e+00,1.845863102206916739e+00,7.530000000000000000e+02,2.252686509572732643e+00,1.000000000000000000e+00,2.252686509572732643e+00
2.471943686815486263e+00,1.455579636156751011e+00,7.530000000000000000e+02,3.726114308789346019e+00,1.000000000000000000e+00,3.726114308789346019e+00
1.958715546074674574e+00,1.811404063538417875e+00,7.530000000000000000e+02,2.340031704154765801e+00,1.000000000000000000e+00,2.340031704154765801e+00
1.896735043414299549e+00,1.870364464600571042e+00,7.530000000000000000e+02,2.194092880755446728e+00,1.000000000000000000e+00,2.194092880755446728e+00
2.055238101268450635e+00,1.729167161875998504e+00,7.530000000000000000e+02,2.575753742443614769e+00,1.000000000000000000e+00,2.575753742443614769e+00
2.023858679801203930e+00,1.755548503264089844e+00,7.530000000000000000e+02,2.497406825185603196e+00,1.000000000000000000e+00,2.497406825185603196e+00
2.614891879908350258e+00,1.383682305010426550e+00,7.530000000000000000e+02,4.170560545095596261e+00,1.000000000000000000e+00,4.170560545095596261e+00
2.460212494796500504e+00,1.460485932053805280e+00,7.530000000000000000e+02,3.692631147271638881e+00,1.000000000000000000e+00,3.692631147271638881e+00
2.207605484745101432e+00,1.614668051777648605e+00,7.530000000000000000e+02,2.972380828428739186e+00,1.000000000000000000e+00,2.972380828428739186e+00
2.429960352600111229e+00,1.477018291348950019e+00,7.530000000000000000e+02,3.602264067488926802e+00,1.000000000000000000e+00,3.602264067488926802e+00
2.503294221354324112e+00,1.438019943960191505e+00,7.530000000000000000e+02,3.822838232788364987e+00,1.000000000000000000e+00,3.822838232788364987e+00
2.138036854427216138e+00,1.664200620863089730e+00,7.530000000000000000e+02,2.788083021408342077e+00,1.000000000000000000e+00,2.788083021408342077e+00
1.897412462234096431e+00,1.870504057486468419e+00,7.530000000000000000e+02,2.195186938047821723e+00,1.000000000000000000e+00,2.195186938047821723e+00
2.004915868006616364e+00,1.769702473386691510e+00,7.530000000000000000e+02,2.452274424618194004e+00,1.000000000000000000e+00,2.452274424618194004e+00
3.055538346732439958e+00,1.209096034977145795e+00,7.530000000000000000e+02,5.696691699546663656e+00,1.000000000000000000e+00,5.696691699546663656e+00
2.056639577917739103e+00,1.727331112597354945e+00,7.530000000000000000e+02,2.579797753047344600e+00,1.000000000000000000e+00,2.579797753047344600e+00
