m1_source,m2_source,dL,likelihood,prior,posterior
1.609806365281410523e+00,1.260935225868400122e+00,8.230000000000000000e+02,2.092503775169312075e+00,1.000000000000000000e+00,2.092503775169312075e+00
1.466893968761381561e+00,1.380013592015190360e+00,8.230000000000000000e+02,1.737412200753621683e+00,1.000000000000000000e+00,1.737412200753621683e+00
1.729756108082589172e+00,1.177966888818411384e+00,8.230000000000000000e+02,2.416626749504334537e+00,1.000000000000000000e+00,2.416626749504334537e+00
1.653223140619246578e+00,1.229182039426754303e+00,8.230000000000000000e+02,2.207218605211434870e+00,1.000000000000000000e+00,2.207218605211434870e+00
1.731742281749768964e+00,1.177435649113978799e+00,8.230000000000000000e+02,2.421409898174108122e+00,1.000000000000000000e+00,2.421409898174108122e+00
1.433432957382552608e+00,1.411509141655020283e+00,8.230000000000000000e+02,1.659330167589831539e+00,1.000000000000000000e+00,1.659330167589831539e+00
1.517602960748527297e+00,1.334550388053648007e+00,8.230000000000000000e+02,1.859751938647695280e+00,1.000000000000000000e+00,1.859751938647695280e+00
1.456334371997249688e+00,1.389775147101793618e+00,8.230000000000000000e+02,1.712573172685352585e+00,1.000000000000000000e+00,1.712573172685352585e+00
1.450146352742030631e+00,1.395260307134122524e+00,8.230000000000000000e+02,1.698291725268280539e+00,1.000000000000000000e+00,1.698291725268280539e+00
1.817922520160238031e+00,1.125867436436736480e+00,8.230000000000000000e+02,2.668667867454082465e+00,1.000000000000000000e+00,2.668667867454082465e+00
1.791173036423151510e+00,1.141699022133096486e+00,8.230000000000000000e+02,2.590121913827966083e+00,1.000000000000000000e+00,2.590121913827966083e+00
1.614770699387083841e+00,1.256433099246691665e+00,8.230000000000000000e+02,2.106126182786931977e+00,1.000000000000000000e+00,2.106126182786931977e+00
1.963409436354321969e+00,1.051008411322692071e+00,8.230000000000000000e+02,3.112377011942497607e+00,1.000000000000000000e+00,3.112377011942497607e+00
1.449510419712166875e+00,1.396110785198762416e+00,8.230000000000000000e+02,1.696654317765684983e+00,1.000000000000000000e+00,1.696654317765684983e+00
1.662986855240911055e+00,1.223125016202779136e+00,8.230000000000000000e+02,2.232669635611835179e+00,1.000000000000000000e+00,2.232669635611835179e+00
1.598700409084746310e+00,1.269110814830719303e+00,8.230000000000000000e+02,2.063879348994387630e+00,1.000000000000000000e+00,2.063879348994387630e+00
1.494303708887644300e+00,1.354761797640619436e+00,8.230000000000000000e+02,1.803171963239181830e+00,1.000000000000000000e+00,1.803171963239181830e+00
1.765172142309918923e+00,1.156866323411756659e+00,8.230000000000000000e+02,2.515759777309170886e+00,1.000000000000000000e+00,2.515759777309170886e+00
1.604835103401196506e+00,1.264494253846082605e+00,8.230000000000000000e+02,2.079737610272271997e+00,1.000000000000000000e+00,2.079737610272271997e+00
1.637421623283301209e+00,1.240746870694366066e+00,8.230000000000000000e+02,2.164901092516491765e+00,1.000000000000000000e+00,2.164901092516491765e+00
1.456042575628441416e+00,1.390426588561143761e+00,8.230000000000000000e+02,1.711654720623498216e+00,1.000000000000000000e+00,1.711654720623498216e+00
1.832394175517736423e+00,1.118426455424893495e+00,8.230000000000000000e+02,2.710507211673629957e+00,1.000000000000000000e+00,2.710507211673629957e+00
1.590894980701797135e+00,1.275492933385726779e+00,8.230000000000000000e+02,2.043422988993333966e+00,1.000000000000000000e+00,2.043422988993333966e+00
1.476533667116744830e+00,1.371135633867448966e+00,8.230000000000000000e+02,1.760314861838902400e+00,1.000000000000000000e+00,1.760314861838902400e+00
1.473389852997368799e+00,1.373210790148061688e+00,8.230000000000000000e+02,1.753346411007930872e+00,1.000000000000000000e+00,1.753346411007930872e+00
1.563267681544257215e+00,1.296935111139802865e+00,8.230000000000000000e+02,1.973218169989389814e+00,1.000000000000000000e+00,1.973218169989389814e+00
1.967114622509988475e+00,1.049228264378728737e+00,8.230000000000000000e+02,3.124177400407954774e+00,1.000000000000000000e+00,3.124177400407954774e+00
1.603254311272500177e+00,1.265666748308702960e+00,8.230000000000000000e+02,2.075656483958481680e+00,1.000000000000000000e+00,2.075656483958481680e+00
1.675921650810069830e+00,1.213854176014407038e+00,8.230000000000000000e+02,2.267922015455053675e+00,1.000000000000000000e+00,2.267922015455053675e+00
1.589236487323604008e+00,1.276574766350291101e+00,8.230000000000000000e+02,2.039321518516682641e+00,1.000000000000000000e+00,2.039321518516682641e+00
1.530404557326465964e+00,1.323800185767983750e+00,8.230000000000000000e+02,1.891177588003126964e+00,1.000000000000000000e+00,1.891177588003126964e+00
1.438575700927821055e+00,1.406937001212375415e+00,8.230000000000000000e+02,1.670987200866297373e+00,1.000000000000000000e+00,1.670987200866297373e+00
1.775844646453933029e+00,1.150764538945149296e+00,8.230000000000000000e+02,2.545939167630697941e+00,1.000000000000000000e+00,2.545939167630697941e+00
1.509949071167586254e+00,1.341493265053175010e+00,8.230000000000000000e+02,1.840801839733612111e+00,1.000000000000000000e+00,1.840801839733612111e+00
1.729087678594906974e+00,1.178795067896907023e+00,8.230000000000000000e+02,2.414327685483916852e+00,1.000000000000000000e+00,2.414327685483916852e+00
1.492747440346456678e+00,1.357532650187883494e+00,8.230000000000000000e+02,1.798490743281980553e+00,1.000000000000000000e+00,1.798490743281980553e+00
1.709277669898435548e+00,1.192583606127150420e+00,8.230000000000000000e+02,2.358194895841885241e+00,1.000000000000000000e+00,2.358194895841885241e+00
1.459037812794585776e+00,1.387072583640541312e+00,8.230000000000000000e+02,1.719032161344393073e+00,1.000000000000000000e+00,1.719032161344393073e+00
1.911777645278841975e+00,1.076084228456497538e+00,8.230000000000000000e+02,2.951050722556768591e+00,1.000000000000000000e+00,2.951050722556768591e+00
1.820416412904113379e+00,1.125175065787856754e+00,8.230000000000000000e+02,2.675109001317707680e+00,1.000000000000000000e+00,2.675109001317707680e+00
1.632898319738924631e+00,1.244433093502541166e+00,8.230000000000000000e+02,2.152572785577009373e+00,1.000000000000000000e+00,2.152572785577009373e+00
1.721204431407418411e+00,1.184785086033175894e+00,8.230000000000000000e+02,2.391335434537191329e+00,1.000000000000000000e+00,2.391335434537191329e+00
