m1_source,m2_source,dL,likelihood,prior,posterior
1.266671499893070152e+00,1.126996171779629075e+00,6.900000000000000000e+02,1.543081643852980855e+00,1.000000000000000000e+00,1.543081643852980855e+00
1.744732383592848324e+00,8.395971307347103174e-01,6.900000000000000000e+02,2.927166059295536193e+00,1.000000000000000000e+00,2.927166059295536193e+00
1.415582332814426358e+00,1.013236066668720792e+00,6.900000000000000000e+02,1.927355430959161842e+00,1.000000000000000000e+00,1.927355430959161842e+00
1.403945521316648737e+00,1.021798913987441049e+00,6.900000000000000000e+02,1.895134792206768726e+00,1.000000000000000000e+00,1.895134792206768726e+00
1.293092354089961038e+00,1.105208404430784830e+00,6.900000000000000000e+02,1.607665096271381211e+00,1.000000000000000000e+00,1.607665096271381211e+00
1.378672033572185374e+00,1.039210055570189972e+00,6.900000000000000000e+02,1.827722977998819776e+00,1.000000000000000000e+00,1.827722977998819776e+00
1.449788864083761952e+00,9.921396433264473291e-01,6.900000000000000000e+02,2.020363762954553444e+00,1.000000000000000000e+00,2.020363762954553444e+00
1.293690390247636879e+00,1.104874679979218621e+00,6.900000000000000000e+02,1.609033111443707531e+00,1.000000000000000000e+00,1.609033111443707531e+00
1.330984848941543230e+00,1.074709301051363752e+00,6.900000000000000000e+02,1.703396828929512719e+00,1.000000000000000000e+00,1.703396828929512719e+00
1.215175108866514808e+00,1.174345938855206661e+00,6.900000000000000000e+02,1.419969293511400110e+00,1.000000000000000000e+00,1.419969293511400110e+00
1.561426808141069378e+00,9.266079440215809759e-01,6.900000000000000000e+02,2.344034292642078743e+00,1.000000000000000000e+00,2.344034292642078743e+00
1.376351384630233321e+00,1.041075404574148822e+00,6.900000000000000000e+02,1.821387736083764253e+00,1.000000000000000000e+00,1.821387736083764253e+00
1.480139081134462131e+00,9.737291344442897678e-01,6.900000000000000000e+02,2.105381897299427152e+00,1.000000000000000000e+00,2.105381897299427152e+00
1.217661773129451896e+00,1.171275246412741833e+00,6.900000000000000000e+02,1.426208111225483188e+00,1.000000000000000000e+00,1.426208111225483188e+00
1.215956323835412523e+00,1.172926966155079853e+00,6.900000000000000000e+02,1.422202932825311628e+00,1.000000000000000000e+00,1.422202932825311628e+00
1.268369728749459968e+00,1.125593635892553346e+00,6.900000000000000000e+02,1.547172503667162413e+00,1.000000000000000000e+00,1.547172503667162413e+00
1.715871105325971868e+00,8.519810143199622043e-01,6.900000000000000000e+02,2.830965501355418468e+00,1.000000000000000000e+00,2.830965501355418468e+00
1.336103299711533632e+00,1.070292560578508523e+00,6.900000000000000000e+02,1.716911705262834209e+00,1.000000000000000000e+00,1.716911705262834209e+00
